date,strategy,spy
2019-01-18,100000.0,100000.0
2019-01-22,99828.12192017655,98648.9692723337
2019-01-23,100392.12257130061,98855.3663692129
2019-01-24,100117.65423066037,98907.9137956596
2019-01-25,99997.3040856329,99744.81616126429
2019-01-28,99795.92054069045,98986.7093958757
2019-01-29,100166.38679067051,98855.3663692129
2019-01-30,100874.73334779515,100420.32194780222
2019-01-31,101917.42292405463,101302.28229499065
2019-02-01,101691.94324084511,101351.04988225673
2019-02-04,101649.05807640491,102064.10505092502
2019-02-05,101781.94895959525,102491.9419830441
2019-02-06,101694.28954834612,102356.85742638157
2019-02-07,101639.8587984127,101381.09066493373
2019-02-08,101684.99548172652,101504.91870727966
2019-02-11,101755.08110751744,101561.23320318002
2019-02-12,102339.39239916354,102867.23787357996
2019-02-13,102635.54822794556,103201.22369739527
2019-02-14,102631.457376413,102972.31995674639
2019-02-15,103554.2804040766,104094.40224971942
2019-02-19,103625.38903199986,104274.58948201007
2019-02-20,103621.76136770895,104484.76003320639
2019-02-21,103577.36995566165,104113.17374835287
2019-02-22,104308.08590908165,104758.70260084861
2019-02-25,104006.41062945161,104901.31491155496
2019-02-26,103959.36221877858,104826.24807161161
2019-02-27,103955.31824792258,104781.23478407222
2019-02-28,103856.11854179906,104586.04312260175
2019-03-01,104277.25147700119,105239.08057455087
2019-03-04,104091.58450830623,104856.26331483468
2019-03-05,103953.52677475491,104713.6637738553
2019-03-06,103386.45702130106,104079.42335999354
2019-03-07,102660.99625421225,103208.75783630257
2019-03-08,102493.15357874615,103002.30966051553
2019-03-11,104011.16555556249,104496.0101626595
2019-03-12,104312.34854348458,104890.07116696534
2019-03-13,104897.73816859223,105584.34206727323
2019-03-14,104947.40518034928,105516.80936623717
2019-03-15,105256.55083846027,106038.11431485115
2019-03-18,105704.54475168543,106422.57886934538
2019-03-19,105416.03387335302,106448.9675101114
2019-03-20,104753.7481702661,106128.56229091967
2019-03-21,106247.08277705795,107327.24379107144
2019-03-22,104048.79685005262,105261.57444859362
2019-03-25,104122.59936142908,105182.42129602257
2019-03-26,104741.98926708712,105966.48891632394
2019-03-27,104430.7598588496,105412.39769373623
2019-03-28,105122.2302645111,105811.93691090855
2019-03-29,105852.03431493942,106479.14237492149
2019-04-01,107040.98505338069,107741.90236496621
2019-04-02,107376.70088613883,107794.65410704428
2019-04-03,107739.51955936658,107964.29992972821
2019-04-04,107871.53504236156,108250.75044492922
2019-04-05,108472.84922125607,108774.69234216075
2019-04-08,108462.03154967206,108857.63171877587
2019-04-09,107631.19032651637,108299.74788728061
2019-04-10,108211.96468889312,108669.15054882372
2019-04-11,108376.82372822607,108639.01399319452
2019-04-12,109271.02845867146,109374.03947710012
2019-04-15,109006.292405163,109302.45238775377
2019-04-16,108832.5779725576,109374.03947710012
2019-04-17,108849.55097851859,109106.44984862128
2019-04-18,109445.0803132542,109321.300504749
2019-04-22,109286.85297234931,109415.52831999812
2019-04-23,110229.59904872163,110399.37193374912
2019-04-24,110191.89312155126,110154.33364308433
2019-04-25,109518.77168068172,110086.47531401076
2019-04-26,109779.4874241162,110599.12877260831
2019-04-29,109977.46378696972,110772.54166474588
2019-04-30,109315.9990686756,110829.04770655064
2019-05-01,108550.98682461621,109996.01456821531
2019-05-02,108226.74454869084,109758.53595591176
2019-05-03,109527.26034147825,110832.84031545823
2019-05-06,108250.54428473764,110376.75674730026
2019-05-07,106532.99766645716,108533.47219985747
2019-05-08,106499.22437484402,108382.70003362269
2019-05-09,106110.07295987764,108054.78621497759
2019-05-10,106360.92779833177,108597.53792002345
2019-05-13,103214.6399332178,105868.47487703073
2019-05-14,104388.16290535172,106825.9106954253
2019-05-15,105468.59158630212,107451.67201058456
2019-05-16,106565.09906954938,108446.75298406172
2019-05-17,105732.12776981459,107745.66943441986
2019-05-20,104224.77174164285,107033.20805805527
2019-05-21,105176.47955315525,107998.216324538
2019-05-22,104999.36737170594,107666.48435753142
2019-05-23,104002.68856356497,106350.97262540863
2019-05-24,103965.3271457649,106592.23107689277
2019-05-28,103009.57594301418,105600.85332423447
2019-05-29,101837.52908274639,104892.17817191398
2019-05-30,102416.0626233798,105178.66699629588
2019-05-31,101140.86243503058,103761.34223110882
2019-06-03,100200.10602317435,103497.4941326297
2019-06-04,102482.79426647685,105744.10412128892
2019-06-05,104023.57018323084,106660.02555733154
2019-06-06,104987.15129322113,107353.6388167009
2019-06-07,106447.23571636755,108427.93040652043
2019-06-10,106934.82056722864,108925.5028175764
2019-06-11,107118.58390887988,108899.10779194691
2019-06-12,107069.95337941386,108706.85955254111
2019-06-13,107598.9975656632,109155.38344233786
2019-06-14,107334.53918035665,109034.84998954798
2019-06-17,107258.70330571952,109076.26221408421
2019-06-18,108038.1873332266,110218.39936325033
2019-06-19,108433.19121992183,110467.19195364181
2019-06-20,109808.48756245362,111522.64819619307
2019-06-21,109246.67747363156,111360.53651241644
